timestamp,market_slug,condition_id,token_id_up,token_id_down,bid_up,ask_up,mid_up,bid_depth_up,ask_depth_up,spread_up,bid_down,ask_down,mid_down,bid_depth_down,ask_depth_down,spread_down,btc_price,time_remaining_s,market_start_ts,market_end_ts
2026-04-18T03:05:45.808766,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.49,0.5,0.495,972.23,470.98,0.01,0.5,0.51,0.505,414.66,1132.17,0.01,77187.24,254.6,1776474300.0,1776474600.0
2026-04-18T03:05:48.082334,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.51,0.52,0.515,635.06,929.76,0.01,0.48,0.49,0.485,777.05,635.35,0.01,77187.25,252.2,1776474300.0,1776474600.0
2026-04-18T03:05:50.354792,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.55,0.56,0.555,609.51,910.94,0.01,0.44,0.45,0.445,641.3,542.6,0.01,77187.26,249.9,1776474300.0,1776474600.0
2026-04-18T03:05:52.638005,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,404.17,1351.23,0.01,0.41,0.42,0.415,857.28,314.39,0.01,77192.34,247.6,1776474300.0,1776474600.0
2026-04-18T03:05:54.906539,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,413.06,1336.98,0.01,0.41,0.42,0.415,853.79,334.16,0.01,77192.35,245.4,1776474300.0,1776474600.0
2026-04-18T03:05:57.188143,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,425.63,1187.45,0.01,0.41,0.42,0.415,769.63,353.37,0.01,77192.35,243.1,1776474300.0,1776474600.0
2026-04-18T03:05:59.468233,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.6,0.59,715.93,876.74,0.02,0.4,0.41,0.405,527.9,458.52,0.01,77197.11,240.8,1776474300.0,1776474600.0
2026-04-18T03:06:01.739399,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.59,0.6,0.595,581.03,995.4,0.01,0.4,0.41,0.405,606.04,436.68,0.01,77197.12,238.5,1776474300.0,1776474600.0
2026-04-18T03:06:04.012438,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,431.58,992.37,0.01,0.41,0.42,0.415,617.73,349.33,0.01,77197.12,236.3,1776474300.0,1776474600.0
2026-04-18T03:06:06.284169,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.58,0.57,631.23,1069.3,0.02,0.43,0.44,0.435,631.78,547.85,0.01,77197.11,234.0,1776474300.0,1776474600.0
2026-04-18T03:06:08.556421,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,583.95,853.31,0.01,0.43,0.44,0.435,598.87,511.37,0.01,77197.11,231.7,1776474300.0,1776474600.0
2026-04-18T03:06:10.828034,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,653.35,834.72,0.01,0.43,0.44,0.435,561.39,566.97,0.01,77197.11,229.4,1776474300.0,1776474600.0
2026-04-18T03:06:13.125953,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,782.31,569.09,0.01,0.43,0.44,0.435,393.71,658.72,0.01,77197.11,227.2,1776474300.0,1776474600.0
2026-04-18T03:06:34.896635,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.7,0.71,0.705,950.25,1451.57,0.01,0.29,0.3,0.295,522.55,448.01,0.01,77209.99,205.5,1776474300.0,1776474600.0
2026-04-18T03:06:37.167773,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.7,0.71,0.705,890.54,1823.87,0.01,0.29,0.3,0.295,644.52,428.43,0.01,77210.0,203.1,1776474300.0,1776474600.0
2026-04-18T03:06:39.443683,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.7,0.71,0.705,890.02,1897.47,0.01,0.29,0.3,0.295,696.34,428.29,0.01,77210.0,200.8,1776474300.0,1776474600.0
2026-04-18T03:06:41.719318,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.7,0.71,0.705,856.14,1867.04,0.01,0.29,0.3,0.295,709.23,415.35,0.01,77210.0,198.6,1776474300.0,1776474600.0
2026-04-18T03:06:43.998439,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.68,0.69,0.685,938.07,1362.51,0.01,0.31,0.32,0.315,564.93,512.46,0.01,77210.0,196.3,1776474300.0,1776474600.0
2026-04-18T03:06:46.268020,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.68,0.69,0.685,1480.43,856.16,0.01,0.31,0.32,0.315,324.9,739.74,0.01,77209.99,194.0,1776474300.0,1776474600.0
2026-04-18T03:06:48.537901,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.68,0.69,0.685,1310.2,1067.02,0.01,0.31,0.32,0.315,417.8,665.98,0.01,77209.99,191.7,1776474300.0,1776474600.0
2026-04-18T03:06:50.806462,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.68,0.69,0.685,1303.41,987.13,0.01,0.31,0.32,0.315,378.79,671.32,0.01,77210.0,189.5,1776474300.0,1776474600.0
2026-04-18T03:06:53.083601,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.71,0.72,0.715,764.81,2166.37,0.01,0.28,0.29,0.285,763.68,347.01,0.01,77210.0,187.2,1776474300.0,1776474600.0
2026-04-18T03:06:55.357192,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.71,0.72,0.715,768.39,1777.95,0.01,0.28,0.29,0.285,613.73,345.05,0.01,77209.99,184.9,1776474300.0,1776474600.0
2026-04-18T03:06:57.629084,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.71,0.72,0.715,866.41,1752.36,0.01,0.28,0.29,0.285,588.15,396.94,0.01,77209.99,182.6,1776474300.0,1776474600.0
2026-04-18T03:06:59.902603,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.7,0.71,0.705,932.21,1498.78,0.01,0.29,0.3,0.295,531.85,444.9,0.01,77210.0,180.4,1776474300.0,1776474600.0
2026-04-18T03:07:02.185948,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.7,0.71,0.705,1077.82,1325.26,0.01,0.29,0.3,0.295,470.57,499.43,0.01,77209.99,178.1,1776474300.0,1776474600.0
2026-04-18T03:07:04.471596,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.69,0.7,0.695,561.6,1201.02,0.01,0.3,0.31,0.305,464.88,255.07,0.01,77210.0,175.8,1776474300.0,1776474600.0
2026-04-18T03:07:06.835572,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.59,0.575,288.6,920.13,0.03,0.41,0.44,0.425,559.52,267.8,0.03,77197.61,173.5,1776474300.0,1776474600.0
2026-04-18T03:07:09.113824,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,1089.47,64.8,0.01,0.43,0.44,0.435,39.75,912.47,0.01,77197.61,171.2,1776474300.0,1776474600.0
2026-04-18T03:07:11.394003,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.62,0.63,0.625,160.77,1115.23,0.01,0.37,0.38,0.375,662.63,110.23,0.01,77197.61,168.9,1776474300.0,1776474600.0
2026-04-18T03:07:13.674461,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,872.29,671.27,0.01,0.41,0.42,0.415,436.01,692.74,0.01,77197.61,166.6,1776474300.0,1776474600.0
2026-04-18T03:07:15.951459,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.59,0.58,348.56,710.9,0.02,0.41,0.43,0.42,467.39,290.51,0.02,77197.61,164.3,1776474300.0,1776474600.0
2026-04-18T03:07:18.226062,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.65,0.66,0.655,427.53,1586.77,0.01,0.34,0.35,0.345,767.47,244.14,0.01,77206.89,162.0,1776474300.0,1776474600.0
2026-04-18T03:07:20.503486,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.59,0.62,0.605,354.86,1094.84,0.03,0.38,0.41,0.395,581.55,321.25,0.03,77198.36,159.8,1776474300.0,1776474600.0
2026-04-18T03:07:22.806874,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.6,0.61,0.605,454.29,951.98,0.01,0.39,0.4,0.395,590.97,337.29,0.01,77198.37,157.5,1776474300.0,1776474600.0
2026-04-18T03:07:25.079650,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,616.52,888.58,0.01,0.41,0.42,0.415,574.27,504.49,0.01,77198.37,155.2,1776474300.0,1776474600.0
2026-04-18T03:07:27.362072,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.55,0.56,0.555,645.59,626.26,0.01,0.44,0.45,0.445,471.03,572.85,0.01,77198.36,152.9,1776474300.0,1776474600.0
2026-04-18T03:07:29.642465,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.53,0.54,0.535,641.07,823.35,0.01,0.46,0.47,0.465,662.3,628.63,0.01,77193.9,150.6,1776474300.0,1776474600.0
2026-04-18T03:07:31.924898,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.47,0.48,0.475,295.87,1251.12,0.01,0.52,0.53,0.525,1100.37,386.75,0.01,77198.37,148.4,1776474300.0,1776474600.0
2026-04-18T03:07:34.202151,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.51,0.52,0.515,678.22,299.93,0.01,0.48,0.49,0.485,250.15,656.19,0.01,77198.37,146.1,1776474300.0,1776474600.0
2026-04-18T03:07:36.483717,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.54,0.55,0.545,707.97,667.66,0.01,0.45,0.46,0.455,482.33,626.21,0.01,77198.36,143.8,1776474300.0,1776474600.0
2026-04-18T03:07:38.877223,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,631.3,1051.58,0.01,0.43,0.44,0.435,741.38,442.66,0.01,77198.36,141.5,1776474300.0,1776474600.0
2026-04-18T03:07:41.157487,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,555.42,1065.81,0.01,0.43,0.44,0.435,737.68,469.56,0.01,77198.37,139.1,1776474300.0,1776474600.0
2026-04-18T03:07:43.437959,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,504.61,1016.08,0.01,0.42,0.43,0.425,679.64,417.99,0.01,77198.37,136.8,1776474300.0,1776474600.0
2026-04-18T03:07:45.715605,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,554.51,1036.85,0.01,0.42,0.43,0.425,687.41,447.36,0.01,77198.36,134.6,1776474300.0,1776474600.0
2026-04-18T03:07:47.997616,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,395.6,948.73,0.01,0.42,0.43,0.425,627.21,319.4,0.01,77198.37,132.3,1776474300.0,1776474600.0
2026-04-18T03:07:50.275205,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,413.38,1106.81,0.01,0.42,0.43,0.425,748.72,340.06,0.01,77198.36,130.0,1776474300.0,1776474600.0
2026-04-18T03:07:52.549116,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,620.83,921.73,0.01,0.42,0.43,0.425,607.24,493.34,0.01,77198.37,127.7,1776474300.0,1776474600.0
2026-04-18T03:07:54.829003,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,582.47,775.49,0.01,0.42,0.43,0.425,507.51,459.95,0.01,77198.36,125.5,1776474300.0,1776474600.0
2026-04-18T03:07:57.106311,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.58,0.59,0.585,551.07,1050.44,0.01,0.41,0.42,0.415,659.32,407.22,0.01,77198.37,123.2,1776474300.0,1776474600.0
2026-04-18T03:07:59.374611,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,370.39,1052.31,0.01,0.42,0.43,0.425,699.66,306.19,0.01,77198.37,120.9,1776474300.0,1776474600.0
2026-04-18T03:08:01.643644,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,335.55,1006.19,0.01,0.42,0.43,0.425,669.99,276.43,0.01,77193.77,118.6,1776474300.0,1776474600.0
2026-04-18T03:08:03.914670,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.57,0.58,0.575,429.04,885.4,0.01,0.42,0.43,0.425,584.44,347.38,0.01,77193.77,116.4,1776474300.0,1776474600.0
2026-04-18T03:08:06.186972,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,202.52,1152.09,0.01,0.43,0.44,0.435,777.0,179.48,0.01,77193.76,114.1,1776474300.0,1776474600.0
2026-04-18T03:08:08.461115,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,186.83,1002.53,0.01,0.43,0.44,0.435,701.53,164.1,0.01,77193.77,111.8,1776474300.0,1776474600.0
2026-04-18T03:08:10.812393,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.56,0.57,0.565,41.18,734.72,0.01,0.43,0.44,0.435,505.64,36.96,0.01,77193.76,109.5,1776474300.0,1776474600.0
2026-04-18T03:08:13.084365,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.55,0.56,0.555,269.78,832.96,0.01,0.44,0.45,0.445,612.41,245.15,0.01,77193.76,107.2,1776474300.0,1776474600.0
2026-04-18T03:08:15.357026,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.55,0.56,0.555,238.43,830.03,0.01,0.44,0.45,0.445,607.56,225.94,0.01,77193.77,104.9,1776474300.0,1776474600.0
2026-04-18T03:08:17.627743,btc-updown-5m-1776474300,0xb49c7c4959c128371d6a95fada45f780a3512d29e920bda65f4f0752e42051da,21060086273969502467250729911931090500266043202920764198803374345997770131574,109124002906895143173983293986672787151574172114284501103166641465149474074575,0.55,0.56,0.555,248.37,773.8,0.01,0.44,0.45,0.445,564.99,227.55,0.01,77193.77,102.6,1776474300.0,1776474600.0
